Dir1,Dir2,File,Fs,Onsets
Brass,BassTrombone,BassTrombone.ff.A1.stereo.wav,48000,0.05
Brass,BassTrombone,BassTrombone.ff.A2.stereo.wav,48000,0.065
Brass,BassTrombone,BassTrombone.ff.Ab1.stereo.wav,48000,0.076
Brass,BassTrombone,BassTrombone.ff.Ab2.stereo.wav,48000,0.042
Brass,BassTrombone,BassTrombone.ff.B1.stereo.wav,48000,0.068
Brass,BassTrombone,BassTrombone.ff.B2.stereo.wav,48000,0.077
Brass,BassTrombone,BassTrombone.ff.Bb1.stereo.wav,48000,0.059
Brass,BassTrombone,BassTrombone.ff.Bb2.stereo.wav,48000,0.076
Brass,BassTrombone,BassTrombone.ff.C2.stereo.wav,48000,0.096
Brass,BassTrombone,BassTrombone.ff.C3.stereo.wav,48000,0.073
Brass,BassTrombone,BassTrombone.ff.D1.stereo.wav,48000,0.11
Brass,BassTrombone,BassTrombone.ff.D2.stereo.wav,48000,0.059
Brass,BassTrombone,BassTrombone.ff.D3.stereo.wav,48000,0.079
Brass,BassTrombone,BassTrombone.ff.Db1.stereo.wav,48000,0.032
Brass,BassTrombone,BassTrombone.ff.Db2.stereo.wav,48000,0.08
Brass,BassTrombone,BassTrombone.ff.Db3.stereo.wav,48000,0.082
Brass,BassTrombone,BassTrombone.ff.E1.stereo.wav,48000,0.087
Brass,BassTrombone,BassTrombone.ff.E2.stereo.wav,48000,0.085
Brass,BassTrombone,BassTrombone.ff.Eb1.stereo.wav,48000,0.084
Brass,BassTrombone,BassTrombone.ff.Eb2.stereo.wav,48000,0.082
Brass,BassTrombone,BassTrombone.ff.Eb3.stereo.wav,48000,0.063
Brass,BassTrombone,BassTrombone.ff.F1.stereo.wav,48000,0.084
Brass,BassTrombone,BassTrombone.ff.F2.stereo.wav,48000,0.075
Brass,BassTrombone,BassTrombone.ff.G1.stereo.wav,48000,0.069
Brass,BassTrombone,BassTrombone.ff.G2.stereo.wav,48000,0.067
Brass,BassTrombone,BassTrombone.ff.Gb1.stereo.wav,48000,0.072
Brass,BassTrombone,BassTrombone.ff.Gb2.stereo.wav,48000,0.069
Brass,Horn,Horn.ff.A2.stereo.wav,48000,0.027
Brass,Horn,Horn.ff.A3.stereo.wav,48000,0.02
Brass,Horn,Horn.ff.A4.stereo.wav,48000,0.02
Brass,Horn,Horn.ff.Ab2.stereo.wav,48000,0.04
Brass,Horn,Horn.ff.Ab3.stereo.wav,48000,0.029
Brass,Horn,Horn.ff.Ab4.stereo.wav,48000,0.02
Brass,Horn,Horn.ff.B1.stereo.wav,48000,0.139
Brass,Horn,Horn.ff.B2.stereo.wav,48000,0.045
Brass,Horn,Horn.ff.B3.stereo.wav,48000,0.026
Brass,Horn,Horn.ff.B4.stereo.wav,48000,0.019
Brass,Horn,Horn.ff.Bb1.stereo.wav,48000,0.135
Brass,Horn,Horn.ff.Bb2.stereo.wav,48000,0.019
Brass,Horn,Horn.ff.Bb3.stereo.wav,48000,0.022
Brass,Horn,Horn.ff.Bb4.stereo.wav,48000,0.026
Brass,Horn,Horn.ff.C2.stereo.wav,48000,0.018
Brass,Horn,Horn.ff.C3.stereo.wav,48000,0.016
Brass,Horn,Horn.ff.C4.stereo.wav,48000,0.018
Brass,Horn,Horn.ff.C5.stereo.wav,48000,0.025
Brass,Horn,Horn.ff.D2.stereo.wav,48000,0.022
